
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
   3987.79126 |       6.74732 |       6.74732 |       0.00000 |      19.17188 |      16.17188 |     131.74619 |     -10.80380 |      15.68879 |      16.20298 |       0.09024 |     -12.43280 |      18.64606 |       0.10385 |       0.02454 |      -0.02004 |       1.00128 |      -0.01864 |      -0.41402 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00226 |       0.05403 |       0.00163 |       0.07007 |       0.49125 |     113.47770 |     132.73166 |     179.89008 |      47.54070 |      23.40038 |       1.13455 |       0.04084 |     -23.33047 |     -51.13953 |    1863.22803 |       0.23996 |       1.00000 |    1863.19287 |     -23.50000 |     -51.00000 |  -14263.55469 |     524.06171 |  -18867.03320 |       0.01839 |       0.00083 |      -0.04262 |       1.01306 |       0.00017 | 
   3988.80469 |       7.53851 |       7.53851 |       0.00000 |      19.17209 |      16.17209 |     131.74641 |     -10.65106 |      15.43436 |      15.94022 |       0.04770 |     -12.25702 |      18.34367 |       0.05489 |       0.02414 |      -0.00866 |       0.99731 |       0.00236 |      -0.59486 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00019 |       0.04110 |       0.02190 |       0.07883 |       0.39149 |     114.01368 |     133.26764 |    -179.99799 |      46.91746 |      29.37399 |      -0.46362 |       0.05513 |     -23.33047 |     -51.13953 |    1863.22791 |       0.23967 |       1.00000 |    1863.21423 |     -23.50000 |     -51.00000 |  -14263.55371 |     524.06165 |  -18867.03125 |       0.01202 |      -0.00024 |      -0.02140 |       1.12622 |       0.00019 | 
   3989.82471 |       8.34253 |       8.34253 |       0.00000 |      19.17232 |      16.17232 |     131.74664 |     -10.57662 |      15.35252 |      15.85569 |       0.15274 |     -12.17135 |      18.24640 |       0.17576 |       0.02401 |      -0.03329 |       1.00346 |      -0.01211 |      -0.83912 |      -0.00000 |      -0.00000 |       0.00000 |       0.00035 |       0.11858 |       0.01329 |       0.07961 |       0.45186 |     114.59491 |     133.84886 |     179.95123 |      46.58367 |      23.74199 |       0.68092 |       0.04799 |     -23.33047 |     -51.13953 |    1863.22656 |       0.23811 |       1.00000 |    1863.21765 |     -23.50000 |     -51.00000 |  -14263.55176 |     524.06122 |  -18867.03320 |       0.03156 |       0.00079 |      -0.07195 |       1.24781 |       0.00021 | 
   3990.84180 |       8.98972 |       8.98972 |       0.00000 |      19.17250 |      16.17250 |     131.74681 |     -10.56078 |      15.11480 |      15.61018 |       0.04847 |     -12.15312 |      17.96387 |       0.05577 |       0.02364 |      -0.01625 |       0.99820 |       0.00596 |       0.49990 |      -0.00000 |      -0.00000 |       0.00000 |       0.00083 |      -0.02681 |       0.03103 |       0.07193 |       0.36097 |     115.10174 |     134.35570 |    -179.95799 |      45.58133 |     203.00606 |       0.43653 |      -0.01519 |     -23.33047 |     -51.13953 |    1863.22729 |       0.23892 |       1.00000 |    1863.21802 |     -23.50000 |     -51.00000 |  -14263.55176 |     524.06146 |  -18867.03320 |      -0.00972 |       0.00024 |       0.02296 |       1.34580 |       0.00022 | 
   3991.78467 |       9.74926 |       9.74926 |       0.00000 |      19.17271 |      16.17271 |     131.74702 |     -10.57112 |      15.00197 |      15.49365 |       0.09121 |     -12.16502 |      17.82978 |       0.10496 |       0.02346 |       0.01902 |       0.99959 |       0.02258 |       0.53532 |      -0.00000 |      -0.00000 |       0.00000 |       0.00105 |      -0.07983 |       0.00463 |       0.06459 |       0.32062 |     115.55432 |     134.80827 |    -179.92386 |      45.02139 |     203.04929 |      -0.15587 |      -0.06784 |     -23.33047 |     -51.13953 |    1863.22791 |       0.23966 |       1.00000 |    1863.21838 |     -23.50000 |     -51.00000 |  -14263.54980 |     524.06165 |  -18867.03711 |      -0.01833 |      -0.00004 |       0.04319 |       1.43684 |       0.00024 | 
   3992.80322 |      10.55328 |      10.55328 |       0.00000 |      19.17293 |      16.17293 |     131.74725 |     -10.80162 |      17.64494 |      18.22324 |       0.12394 |     -12.43028 |      20.97093 |       0.14262 |       0.02760 |      -0.01686 |       1.00057 |       0.01293 |       0.57959 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00186 |      -0.07815 |       0.00061 |       0.05732 |       0.40687 |     116.05688 |     135.31084 |     179.99371 |      44.49066 |     201.68365 |       1.13402 |      -0.05648 |     -23.33047 |     -51.13953 |    1863.22766 |       0.23941 |       1.00000 |    1863.21838 |     -23.50000 |     -51.00000 |  -14263.54688 |     524.06158 |  -18867.03906 |      -0.02350 |       0.00138 |       0.05925 |       1.55714 |       0.00026 | 
   3993.82300 |      11.35730 |      11.35730 |       0.00000 |      19.17315 |      16.17315 |     131.74747 |     -12.06470 |      18.22546 |      18.82279 |       0.10220 |     -13.88381 |      21.66088 |       0.11761 |       0.02850 |       0.10187 |       0.99751 |      -0.00915 |       0.47182 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00005 |      -0.06689 |       0.00037 |       0.02867 |       0.34215 |     116.60117 |     135.85513 |    -179.98784 |      43.98111 |     205.82260 |      -1.41694 |      -0.04889 |     -23.33047 |     -51.13953 |    1863.22949 |       0.24112 |       1.00000 |    1863.22131 |     -23.50000 |     -51.00000 |  -14263.54590 |     524.06213 |  -18867.03516 |      -0.02285 |      -0.00121 |       0.04734 |       1.67443 |       0.00028 | 
   3994.82935 |      12.16132 |      12.16132 |       0.00000 |      19.17338 |      16.17338 |     131.74770 |     -12.92730 |      19.12772 |      19.75462 |       0.10727 |     -14.87647 |      22.73321 |       0.12344 |       0.02992 |       0.05640 |       0.99910 |       0.02135 |       0.59799 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00017 |      -0.09027 |       0.00421 |       0.01197 |       0.41420 |     117.17033 |     136.42429 |     179.94150 |      43.42402 |     202.71999 |      -0.00901 |      -0.04383 |     -23.33047 |     -51.13953 |    1863.23022 |       0.24162 |       1.00000 |    1863.22131 |     -23.50000 |     -51.00000 |  -14263.54492 |     524.06238 |  -18867.03516 |      -0.02126 |       0.00009 |       0.05092 |       1.79020 |       0.00029 | 
   3995.83569 |      12.96534 |      12.96534 |       0.00000 |      19.17360 |      16.17360 |     131.74792 |     -13.48597 |      18.53929 |      19.14690 |       0.05993 |     -15.51938 |      22.03386 |       0.06896 |       0.02900 |       0.01500 |       0.99964 |       0.00594 |       0.48817 |      -0.00000 |      -0.00000 |       0.00000 |       0.00056 |      -0.04499 |       0.03404 |       0.02064 |       0.42945 |     117.72822 |     136.98218 |     179.94241 |      42.95340 |     203.07913 |       0.15219 |      -0.04044 |     -23.33047 |     -51.13953 |    1863.22961 |       0.24109 |       1.00000 |    1863.22131 |     -23.50000 |     -51.00000 |  -14263.54395 |     524.06219 |  -18867.03516 |      -0.01206 |       0.00014 |       0.02837 |       1.90449 |       0.00031 | 
   3996.84668 |      13.76936 |      13.76936 |       0.00000 |      19.17382 |      16.17382 |     131.74814 |     -14.08418 |      21.92307 |      22.64159 |       0.09378 |     -16.20779 |      26.05548 |       0.10792 |       0.03429 |       0.12036 |       0.99892 |       0.00738 |       0.27781 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00014 |      -0.12846 |       0.01131 |      -0.00189 |       0.76238 |     116.97375 |     136.22771 |     179.57248 |      44.01833 |      34.69099 |      -1.69552 |      -0.03818 |     -23.33047 |     -51.13953 |    1863.23279 |       0.24470 |       1.00000 |    1863.22156 |     -23.50000 |     -51.00000 |  -14263.55273 |     524.06317 |  -18867.01562 |       0.02741 |      -0.00148 |      -0.03967 |       2.04826 |       0.00034 | 
