
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
    103.88113 |       7.00985 |       7.00985 |       0.00000 |      10.73195 |      10.73195 |     119.89230 |       0.00000 |       0.08807 |       0.08871 |       0.08871 |       0.00000 |       0.10208 |       0.10208 |       0.00013 |      -0.01608 |       0.99681 |       0.00841 |       0.57227 |       0.00000 |       0.00000 |       0.00000 |      -0.00011 |      -0.04374 |       0.00566 |       0.41842 |      -0.27684 |     258.77612 |     259.00586 |      -7.15119 |      -4.05084 |     349.91785 |       0.75735 |       0.01975 |      51.87719 |      -0.35366 |     491.77277 |       0.21971 |       1.00000 |     491.76462 |      51.50000 |       0.00000 |  -24304.77734 |     -35.01761 |  -42048.35156 |      -0.00777 |       0.00028 |      -0.04497 |       1.32382 |       0.00022 | 
    104.87720 |       7.84942 |       7.84942 |       0.00000 |      10.73218 |      10.73218 |     119.89254 |       0.00000 |       0.05272 |       0.05310 |       0.05310 |       0.00000 |       0.06110 |       0.06110 |       0.00008 |      -0.01890 |       1.00619 |       0.00212 |      -0.46892 |       0.00000 |       0.00000 |       0.00000 |      -0.00038 |       0.09324 |       0.00003 |       0.42430 |      -0.17658 |     259.27927 |     259.50900 |      -4.54471 |       2.26416 |     162.35567 |       1.44468 |       0.07754 |      51.87719 |      -0.35366 |     491.77237 |       0.21937 |       1.00000 |     491.76807 |      51.50000 |       0.00000 |  -24304.77734 |     -35.01777 |  -42048.35938 |       0.00815 |       0.00089 |       0.02606 |       1.46705 |       0.00024 | 
    105.89306 |       8.67588 |       8.67588 |       0.00000 |      10.73241 |      10.73241 |     119.89277 |       0.00000 |       0.18656 |       0.18791 |       0.18790 |       0.00000 |       0.21624 |       0.21624 |       0.00028 |      -0.00558 |       0.99786 |       0.02811 |       0.78949 |       0.00000 |       0.00000 |       0.00000 |       0.00106 |      -0.09872 |      -0.02196 |       0.41952 |      -0.26623 |     259.82562 |     260.05536 |       5.57629 |      -8.64140 |     349.50018 |      -0.24505 |      -0.00372 |      51.87719 |      -0.35366 |     491.77267 |       0.21952 |       1.00000 |     491.76855 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01780 |  -42048.37500 |      -0.01715 |      -0.00111 |      -0.09513 |       1.61317 |       0.00027 | 
    106.99118 |       9.51133 |       9.51133 |       0.00000 |      10.73264 |      10.73264 |     119.89301 |       0.00000 |       0.06934 |       0.06985 |       0.06984 |       0.00000 |       0.08038 |       0.08038 |       0.00011 |      -0.01028 |       1.00157 |       0.01821 |       0.24413 |       0.00000 |       0.00000 |       0.00000 |       0.00088 |      -0.00848 |       0.01100 |       0.42474 |      -0.21108 |     260.38379 |     260.61353 |      -6.19589 |      -3.15545 |     352.55139 |       0.48217 |      -0.02080 |      51.87719 |      -0.35366 |     491.77222 |       0.21895 |       1.00000 |     491.76883 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01798 |  -42048.38281 |      -0.00449 |       0.00005 |      -0.03565 |       1.74941 |       0.00029 | 
    107.97565 |      10.33554 |      10.33554 |       0.00000 |      10.73287 |      10.73287 |     119.89323 |       0.00000 |       0.08620 |       0.08682 |       0.08682 |       0.00000 |       0.09991 |       0.09991 |       0.00013 |       0.00981 |       1.00637 |      -0.00051 |      -0.50923 |       0.00000 |       0.00000 |       0.00000 |      -0.00031 |       0.08558 |       0.00196 |       0.41244 |      -0.20615 |     260.92862 |     261.15836 |      -7.75400 |       3.83843 |     166.89305 |       0.21678 |       0.00497 |      51.87719 |      -0.35366 |     491.77267 |       0.21925 |       1.00000 |     491.76886 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01791 |  -42048.39062 |       0.00992 |       0.00049 |       0.04355 |       1.88069 |       0.00031 | 
    108.99270 |      11.18981 |      11.18981 |       0.00000 |      10.73311 |      10.73311 |     119.89347 |       0.00000 |       0.06189 |       0.06234 |       0.06233 |       0.00000 |       0.07173 |       0.07173 |       0.00009 |       0.00625 |       1.00525 |       0.00293 |       0.75680 |       0.00000 |       0.00000 |       0.00000 |       0.00063 |      -0.04406 |       0.01700 |       0.41575 |      -0.23601 |     261.52155 |     261.75128 |      -4.81439 |      -2.82114 |     353.29010 |       1.23270 |      -0.05231 |      51.87719 |      -0.35366 |     491.77280 |       0.21935 |       1.00000 |     491.76886 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01794 |  -42048.40234 |      -0.00359 |       0.00047 |      -0.03186 |       2.03597 |       0.00034 | 
    109.97187 |      12.04408 |      12.04408 |       0.00000 |      10.73335 |      10.73335 |     119.89371 |       0.00000 |       0.08061 |       0.08119 |       0.08119 |       0.00000 |       0.09343 |       0.09343 |       0.00012 |      -0.00766 |       0.99446 |      -0.01248 |      -0.74277 |       0.00000 |       0.00000 |       0.00000 |      -0.00099 |       0.05788 |       0.03463 |       0.42047 |      -0.14837 |     262.22223 |     262.45197 |      -7.34947 |       3.70129 |     170.84198 |      -0.06108 |       0.02148 |      51.87719 |      -0.35366 |     491.77292 |       0.21947 |       1.00000 |     491.76886 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01797 |  -42048.41406 |       0.00645 |       0.00025 |       0.04127 |       2.18849 |       0.00036 | 
    110.95087 |      12.89836 |      12.89836 |       0.00000 |      10.73358 |      10.73358 |     119.89394 |       0.00000 |       0.08814 |       0.08878 |       0.08878 |       0.00000 |       0.10216 |       0.10216 |       0.00013 |      -0.01129 |       1.00329 |       0.01989 |       0.47389 |       0.00000 |       0.00000 |       0.00000 |      -0.00005 |      -0.02480 |       0.02108 |       0.42598 |      -0.22068 |     262.88095 |     263.11069 |       8.14345 |      -4.04095 |     354.40414 |       0.16448 |      -0.04156 |      51.87719 |      -0.35366 |     491.77231 |       0.21877 |       1.00000 |     491.76886 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01820 |  -42048.42188 |      -0.00423 |      -0.00018 |      -0.04547 |       2.34175 |       0.00039 | 
    111.97084 |      13.80288 |      13.80288 |       0.00000 |      10.73383 |      10.73383 |     119.89420 |       0.00000 |       0.17525 |       0.17652 |       0.17651 |       0.00000 |       0.20313 |       0.20313 |       0.00027 |      -0.00331 |       0.99498 |       0.01808 |       0.83476 |       0.00000 |       0.00000 |       0.00000 |       0.00063 |      -0.11684 |       0.00217 |       0.42659 |      -0.21884 |     263.56635 |     263.79608 |     -12.39316 |      -8.12687 |     353.93835 |       0.56416 |      -0.03867 |      51.87719 |      -0.35366 |     491.77264 |       0.21905 |       1.00000 |     491.76886 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01818 |  -42048.43359 |      -0.00916 |       0.00026 |      -0.09035 |       2.50554 |       0.00041 | 
    112.98000 |      14.65715 |      14.65715 |       0.00000 |      10.73407 |      10.73407 |     119.89443 |       0.00000 |       0.18140 |       0.18272 |       0.18271 |       0.00000 |       0.21027 |       0.21027 |       0.00028 |       0.00806 |       1.01022 |      -0.00219 |      -0.94434 |       0.00000 |       0.00000 |       0.00000 |       0.00016 |       0.13797 |       0.02710 |       0.42303 |      -0.16442 |     264.22342 |     264.45316 |     -16.72267 |       8.33208 |     172.86842 |      -0.12499 |       0.03037 |      51.87719 |      -0.35366 |     491.77255 |       0.21890 |       1.00000 |     491.76886 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01825 |  -42048.44141 |       0.01122 |       0.00045 |       0.09332 |       2.65997 |       0.00044 | 
